scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,parsed_scanned_at,reject_reason
915175,7004516,5199,2026-05-14 11:00:38,8,131,DELIVERED,441.76,SDD,2026-05-14 11:00:38,impossible weight
914959,7004441,5108,2026-05-14 14:23:45,3,126,DELIVERED,,ECO,2026-05-14 14:23:45,missing weight
915620,7004666,5083,2026-05-14 21:37:49,99,108,DEPART,22.11,SDD,2026-05-14 21:37:49,unknown hub
915345,7004576,5199,2026-05-14 07:48:17,99,103,DEPART,29.87,EXP,2026-05-14 07:48:17,unknown hub
915435,7004602,5054,2026-05-14 07:21:13,99,134,ARRIVE,11.33,ECO,2026-05-14 07:21:13,unknown hub
914625,7004349,5059,2026-05-14 10:40:03,1,111,DEPART,809.32,ECO,2026-05-14 10:40:03,impossible weight
915076,7004477,5015,2026-05-14 15:05:50,99,105,DELIVERED,"20,93",STD,2026-05-14 15:05:50,unknown hub
915444,7004605,5041,2026-05-14 08:48:15,8,121,DEPART,,EXP,2026-05-14 08:48:15,missing weight
914644,7004355,5061,2026-05-14 18:12:57,6,104,DEPART,589.16,STD,2026-05-14 18:12:57,impossible weight
914746,7004387,5163,2026-05-14 07:27:23,99,118,OUT_FOR_DELIVERY,9.28,ECO,2026-05-14 07:27:23,unknown hub
915312,7004563,5056,2026-05-14 07:03:23,1,101,DELIVERED,,ECO,2026-05-14 07:03:23,missing weight
915469,7004614,5046,2026-05-14 14:07:56,99,108,PICKUP,8.91,ECO,2026-05-14 14:07:56,unknown hub
915624,7004667,5112,2026-05-14 07:34:13,99,101,PICKUP,11.74,ECO,2026-05-14 07:34:13,unknown hub
915205,7004529,5058,2026-05-14 19:28:53,10,138,ARRIVE,,SDD,2026-05-14 19:28:53,missing weight
915524,7004631,5024,2026-05-14 09:54:14,1,122,FAILED,753.7,SDD,2026-05-14 09:54:14,impossible weight
915572,7004651,5132,2026-05-14 11:03:54,99,134,PICKUP,22.59,SDD,2026-05-14 11:03:54,unknown hub
915629,7004668,5161,2026-05-14 15:42:14,9,109,FAILED,,SDD,2026-05-14 15:42:14,missing weight
915561,7004647,5180,2026-05-14 18:08:24,5,119,FAILED,,SDD,2026-05-14 18:08:24,missing weight
915139,7004497,5076,2026-05-14 16:01:55,8,115,ARRIVE,307.59,SDD,2026-05-14 16:01:55,impossible weight
915334,7004571,5134,2026-05-14 09:33:39,4,110,OUT_FOR_DELIVERY,641.35,STD,2026-05-14 09:33:39,impossible weight
915387,7004588,5200,2026-05-14 16:45:13,3,,PICKUP,,SDD,2026-05-14 16:45:13,missing weight
915427,7004599,5154,2026-05-14 16:30:58,99,119,OUT_FOR_DELIVERY,20.79,EXP,2026-05-14 16:30:58,unknown hub
915640,7004674,5195,2026-05-14 15:44:01,7,124,PICKUP,,EXP,2026-05-14 15:44:01,missing weight
914828,7004405,5141,2026-05-14 13:19:17,7,131,DELIVERED,719.15,EXP,2026-05-14 13:19:17,impossible weight
915550,7004642,5064,2026-05-14 15:12:25,2,130,OUT_FOR_DELIVERY,,SDD,2026-05-14 15:12:25,missing weight
914902,7004426,5028,2026-05-14 06:34:15,9,125,DEPART,,EXP,2026-05-14 06:34:15,missing weight
